Survived,Pclass,Age,Fare,FamSize,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Other,cabin_missing
1.0,1.0,32.102292685255925,146.5208,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,3.0,21.999999999999996,7.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,2.0,66.0,10.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,28.0,82.1708,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,42.0,52.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,20.0,7.2292,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,21.0,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,18.0,18.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,3.0,14.0,11.2417,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,40.0,9.475,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,2.0,27.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,3.0,33.0,7.8958,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,3.0,41.5792,3.0000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,3.0,19.0,7.8792,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,35.800000000000004,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,42.793643577010776,15.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,21.999999999999996,7.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,17.91147539145208,21.6792,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,18.0,17.8,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,3.0,7.0,39.6875,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,3.0,21.0,7.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,1.0,49.0,76.7292,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,2.0,29.000000000000004,26.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,1.0,65.0,61.9792,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,28.0,35.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,2.0,21.0,10.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,28.5,7.2292,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,5.0,27.75,3.0000000000000004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,10.999999999999998,46.9,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,3.0,21.999999999999996,7.2292,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,1.0,38.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,45.0,83.475,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,4.0,27.9,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,53.620377325044466,27.7208,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,6.482828544488689,15.2458,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,2.0,29.000000000000004,10.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,3.0,19.0,8.1583,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,17.0,7.925,6.000000000000001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,26.0,8.6625,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,2.0,32.0,10.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,16.0,46.9,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,2.0,21.0,73.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,26.0,14.4542,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,32.0,56.4958,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,25.0,7.65,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,25.2,7.8958,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,35.800000000000004,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,0.83,29.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,30.0,12.475,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,21.999999999999996,9.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,29.000000000000004,9.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,18.171907170791176,7.7875,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,28.0,47.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,17.0,10.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,3.0,33.0,15.85,3.0000000000000004,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,3.0,16.0,34.375,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,35.800000000000004,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,1.0,23.000000000000004,263.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,3.0,24.0,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,29.000000000000004,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,20.0,7.8542,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,46.00000000000001,61.175,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,26.0,20.575,3.0000000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,59.0,7.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,35.800000000000004,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,71.0,34.6542,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,23.000000000000004,63.3583,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2.0,34.0,23.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,2.0,34.0,26.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,28.0,7.8958,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,25.2,7.8958,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,21.0,77.2875,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,33.0,8.6542,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,37.0,7.925,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,28.0,7.8958,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,21.0,7.65,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,3.0,26.082845199253697,7.775,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,38.0,7.8958,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,17.599417264121882,24.15,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,47.0,52.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,14.500000000000002,14.4542,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,21.999999999999996,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,20.0,9.825,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,17.0,14.4583,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,21.0,7.925,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,70.5,7.75,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,2.0,29.000000000000004,21.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,24.0,247.5208,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,2.0,31.275,6.000000000000001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,2.0,21.0,73.5,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,35.800000000000004,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,2.0,32.5,30.0708,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,32.5,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,54.0,77.2875,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,3.0,12.0,11.2417,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,3.0,47.666666666666664,7.75,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,24.0,7.1417,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,5.7054085316827505,22.3583,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,3.0,45.0,6.975,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,33.0,7.8958,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,20.0,7.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,47.0,14.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,2.0,29.000000000000004,26.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,2.0,25.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,2.0,23.000000000000004,15.0458,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,1.0,19.0,26.2833,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,37.0,53.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,16.0,9.2167,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,24.0,79.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,41.42826977768696,15.2458,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,3.0,21.999999999999996,7.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,3.0,24.0,15.85,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,3.0,19.0,6.75,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,2.0,18.0,11.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,2.0,19.0,36.75,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,27.0,7.7958,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,9.0,34.375,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,2.0,36.5,26.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,42.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0.0,2.0,50.99999999999999,12.525,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,21.999999999999996,66.6,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,3.0,55.50000000000001,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,40.5,14.5,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,29.500000021541226,7.3125,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,50.99999999999999,61.3792,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,16.0,7.7333,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,30.0,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,17.0,8.6625,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,6.834079465702851,69.55,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,3.0,43.99999999999999,16.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,40.0,15.75,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,3.0,26.0,7.775,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,17.0,8.6625,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,1.0,39.6875,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,9.0,20.525,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,32.553090855658525,55.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,3.0,45.0,27.9,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,1.0,62.910539509167265,25.925,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,28.0,56.4958,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,61.0,33.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,4.0,29.125,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,1.0,11.1333,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,21.0,7.925,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,56.0,30.6958,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,18.0,7.8542,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,2.5788803071033164,25.4667,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,50.0,28.7125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,2.0,30.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,36.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,9.260820578505998,69.55,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,2.0,23.002110168719113,15.05,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,9.0,31.3875,6.000000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,2.0,1.0,39.0,3.0000000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,4.0,22.025,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,38.073953775931464,50.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,3.0,27.645450055315532,15.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,45.0,26.55,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,40.0,15.5,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,36.0,7.8958,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,32.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,2.0,19.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,19.0,7.8542,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,2.0,3.0,26.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,43.99999999999999,27.7208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,58.00000000000001,146.5208,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,3.0,47.666666666666664,7.75,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,42.0,8.4042,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,21.999999999999996,7.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,2.0,24.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,28.0,9.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,23.975456541101856,69.55,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,34.0,6.4958,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,45.5,7.225,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,18.0,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,2.0,10.4625,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,3.0,32.0,15.85,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,26.0,18.7875,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,16.0,7.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,40.0,31.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,24.0,7.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,35.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,21.999999999999996,7.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,2.0,30.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,47.799999999999955,7.75,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,1.0,31.0,113.275,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,3.0,27.0,7.925,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,2.0,42.0,27.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,1.0,32.0,76.2917,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,2.0,30.0,10.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,16.0,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,2.0,27.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,50.99999999999999,8.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,25.2,7.8958,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,1.0,38.0,90.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,21.999999999999996,9.35,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,19.0,10.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,20.5,7.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,2.0,18.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,8.451918096105523,25.4667,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,35.0,83.475,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,3.0,29.000000000000004,7.775,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,2.0,59.0,13.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,5.0,31.3875,6.000000000000001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,2.0,24.0,10.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,27.563212833819485,7.55,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,2.0,43.99999999999999,26.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,8.0,26.25,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,2.0,19.0,10.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,2.0,33.0,12.275,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,18.0,14.4542,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,3.0,17.599707097128658,15.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,2.0,29.000000000000004,10.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,21.999999999999996,7.125,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,30.0,7.225,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,43.99999999999999,90.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,3.0,25.0,7.775,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,2.0,24.0,14.5,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,37.0,52.5542,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,54.0,26.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0.0,3.0,35.0,7.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,29.000000000000004,10.4625,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,62.0,26.55,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,30.0,16.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,41.0,20.2125,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,3.0,29.000000000000004,15.2458,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,43.075328632135296,79.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,30.0,86.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
